N.	Semente	A_{v0}	f_{T}	Pwr	SR	Area	I_{pol}	V_{pol}	W_{1,2}	L_{1,2}	(I_{D}/(W/L))_{1,2}	W_{3,4}	L_{3,4}	(I_{D}/(W/L))_{3,4}	W_{5,6}	L_{5,6}	(I_{D}/(W/L))_{5,6}	W_{7,8}	L_{7,8}	(I_{D}/(W/L))_{7,8}	W_{9}	L_{9}	(I_{D}/(W/L))_{9}	W_{10}	L_{10}	(I_{D}/(W/L))_{10}
0	1241	47.3482	1000	1.9575	2.7068	21618.8093	54.0071	0.8635	99.3258	99.0103	0.34146646	1.0145	9.0479	3.055100408	77.6731	1.6918	3.055100408	15.7024	1.3655	12.1975547	51.6341	4.2134	4.40703944	14.7981	95.1904	4.40703944
1	1241	72.1851	0.2428	0.0049	1212848.667	29117.4402	2.0682	0.7491	99.9271	99.9667	0.274429323	3.6642	96.5094	7.225183611	30.8012	99.3864	7.225183611	2.0885	99.9785	107.1918342	16.6164	99.3722	12.36859874	3.264	73.5838	12.36859874
2	1241	68.5554	0.0359	0.0004	0.025	1708.9391	4.5935	0.8461	37.6697	5.1703	0.007456635	0.9926	97.8427	5.355172324	1.5536	80.0128	5.355172324	1.5822	99.9484	6.568522027	44.1623	8.4433	0.878221889	4.8154	38.9213	0.878221889
3	1241	46.8294	475.1434	0.5545	0.0467	30359.0678	3.4145	0.831	99.9859	99.0442	0.110070174	1.4552	9.4725	0.723304712	99.3409	1.3905	0.723304712	5.3402	2.4182	23.39985066	97.6646	98.8993	3.457666953	6.0229	93.7086	3.457666953
4	1241	30.4622	998.1821	24.9198	0	1402.2895	0.3315	0.8404	41.3287	14.775	2.857652288	1.8458	3.5259	15.26929509	89.4853	0.5036	15.26929509	50.2201	0.6093	32.91838878	1.2879	8.8357	2.274271721	6.1107	0.8693	2.274271721
5	1241	72.2314	0.0987	0.0022	0.0461	54216.681	3.4136	0.7913	99.2212	99.9326	0.119149145	19.9713	99.7189	0.590689652	99.7085	99.8208	0.590689652	1.2495	99.9437	47.19431236	99.5396	97.4193	3.340886667	6.2409	88.1233	3.340886667
6	1241	47.0029	709.0092	1.2725	1203774.216	30572.8582	2.1408	0.8311	99.5729	99.0442	0.122618581	1.0148	9.4725	1.150674655	82.3456	1.3911	1.150674655	19.1411	2.6019	9.258876771	97.6646	97.1031	2.128491966	10.8544	93.7086	2.128491966
7	1241	72.5528	0.1408	0.0027	0.1448	3309.6881	5.4395	0.8771	99.7047	0.6721	0.001678753	5.9345	96.4579	4.047829914	6.9964	99.5846	4.047829914	1.1717	99.82	24.22734585	6.7032	9.2116	7.475011666	4.7714	71.6076	7.475011666
8	1241	72.3767	0.1285	0.0028	1198709.404	54254.2249	3.4136	0.7913	99.2371	99.9326	0.15414596	19.9332	99.7189	0.765771994	99.8656	99.8208	0.765771994	1.2495	99.9437	61.27925993	99.0682	99.158	3.416694245	6.2377	69.6148	3.416694245
9	1241	57.3844	28.8105	0.1264	514434.5428	58047.4034	7.5782	0.7893	99.8781	97.5254	3.816006667	3.4263	93.3907	106.5221445	99.793	98.9266	106.5221445	7.8373	5.0665	69.46538904	89.166	91.4925	7.775928756	99.9788	99.4646	7.775928756
10	1241	38.5894	0.0002	0	1195390.284	56037.0283	0.1981	0.7478	99.2371	99.97	0.000313248	20.9298	96.3445	0.001431379	98.1326	98.2059	0.001431379	59.2967	99.9698	0.002411398	98.857	1.705	0.003416657	12.5399	68.8926	0.003416657
11	1241	72.0275	0.1541	0.0032	1008792.225	18258.8251	1.9677	0.835	73.6249	89.0136	0.099831775	3.2351	98.0641	2.502992124	17.1065	99.6577	2.502992124	1.5948	99.2679	26.74313967	10.4675	7.8121	1.468532999	8.9299	79.4078	1.468532999
12	1241	42.3318	358.1128	0.1084	1221200.885	20741.9507	52.7278	0.8062	99.9534	99.8505	0.159020122	1.2432	5.8635	0.750784568	15.9607	1.328	0.750784568	5.4395	1.2413	2.059145196	43.8028	3.7195	4.477363367	6.2409	87.7688	4.477363367
13	1241	39.7064	729.2203	0.2565	1216078.182	20505.0075	55.7178	0.8538	98.6823	99.9655	0.141932755	1.0647	5.02	0.660614675	15.1258	0.8499	0.660614675	5.4179	1.2563	2.726221362	50.0037	3.5403	3.944862627	6.2409	87.8572	3.944862627
14	1241	-18.1076	111.426	0.1154	786204.922	8729.6321	4.9867	0.8384	42.5612	98.8466	1.031058689	10.1965	3.42	0.148905417	86.377	0.5021	0.148905417	0.5173	0.692	34.26746741	24.199	3.2151	0.662537261	10.3917	7.7541	0.662537261
15	1241	-126.7243	0	0.4041	90.1556	363.4556	11.5307	0.9118	40.3181	1.4603	0.151663439	1.002	10.806	45.15814711	80.0729	0.5012	45.15814711	0.7928	0.812	7389.294864	51.6102	2.4737	0.552671615	14.994	0.9895	0.552671615
16	1241	67.0864	0.3559	0.0063	0.0769	28423.5157	3.3109	0.8041	99.2425	98.9931	0.478308507	3.3751	99.1336	14.08429489	12.3301	98.0553	14.08429489	1.677	99.9672	105.5735441	54.8441	93.4064	5.638879109	6.2483	36.7387	5.638879109
17	1241	68.7567	0.0264	0.0008	849511.2874	16002.2697	2.2332	0.9314	98.6795	48.2794	0.009135536	3.0317	95.7791	0.589907092	22.0487	95.9672	0.589907092	3.9002	99.9234	3.472354903	41.5557	4.2035	0.225895754	10.8121	65.4017	0.225895754
18	1241	72.3756	0.0867	0.0029	1012903.72	37627.635	17.174	0.7007	75.6914	89.3322	0.300230542	15.3793	98.7725	1.633777298	98.6308	99.9707	1.633777298	1.2495	99.8551	128.8150689	45.1672	7.6288	2.900711383	11.4824	65.4657	2.900711383
19	1241	70.5894	0.1913	0.0017	1197267.065	20212.0569	4.9054	0.8358	96.8577	99.4704	0.199419664	1.1629	98.1194	16.38403178	1.5072	77.165	16.38403178	1.2349	99.1192	25.68604885	4.6624	10.589	11.14088894	2.5607	73.4582	11.14088894
20	1241	73.0305	0.0496	0.0028	16.7401	23647.9817	3.974	0.79	89.3338	1.8396	0.001121817	9.2495	99.4376	0.585661434	99.5657	99.5725	0.585661434	1.2515	99.9437	46.76721796	55.7347	9.2876	0.662225192	12.0599	73.3002	0.662225192
21	1241	-54.44	0	0	1194852.657	13189.9977	4.1077	0.79	65.0477	99.0968	0.121629914	19.9226	2.5384	0.010172478	6.0735	2.3818	0.010172478	0.501	92.4832	4.7883471	22.4701	3.2227	0.589133328	0.8719	3.2169	0.589133328
22	1241	45.9387	1000	4.2897	1190113.666	29153.6466	2.2291	0.9801	99.7443	99.017	0.08342188	1.6962	94.8609	4.699682076	78.4956	1.0807	4.699682076	30.54	1.5216	17.00748547	49.9772	3.353	0.149551642	98.5891	87.7267	0.149551642
23	1241	43.6102	53.4391	0.0408	901988.5179	27229.6477	55.0435	0.8065	99.5704	99.6552	1.543089802	2.0262	92.9303	70.7125528	32.8121	95.972	70.7125528	21.5195	1.5257	1.71404795	5.8007	4.8223	45.75935147	6.4424	95.604	45.75935147
24	1241	72.2372	0.0614	0.0035	451949.641	21417.909	5.2316	0.8313	73.6374	38.1661	0.047730686	5.9543	96.1086	1.486448542	67.6871	97.1631	1.486448542	1.5	98.11	67.7292772	38.6046	22.5808	3.060094219	4.4772	74.3863	3.060094219
26	1241	69.5367	0.0265	0.0004	402668.3143	8093.3379	6.3077	0.7847	23.1982	99.7234	0.13312682	3.2773	95.9373	0.906554804	11.485	98.2413	0.906554804	0.7444	99.3039	14.13809524	21.7542	2.161	0.626588875	6.179	62.5098	0.626588875
27	1241	63.5696	0.2916	0.0034	1217101.898	21692.4217	3.2096	0.7927	99.894	99.717	0.126383819	1.1588	95.8088	10.46787641	4.7406	95.9726	10.46787641	1.3193	95.9196	37.59312554	6.3635	13.0991	6.606878504	3.4006	88.7279	6.606878504
28	1241	63.48	0.0139	0.0001	772373.5076	8853.6925	4.3282	0.8205	40.109	98.4297	0.031808403	0.9911	97.5305	1.275500139	2.3037	80.77	1.275500139	0.7123	82.0016	4.188087357	44.1868	2.3116	0.226426605	4.456	38.9211	0.226426605
29	1241	51.8819	79.5229	0.1603	63.8179	57181.4985	7.336	0.804	97.6734	99.9113	3.656177349	3.3793	99.8826	105.6457523	98.8482	94.0607	105.6457523	7.6538	2.4369	35.34867971	99.2619	92.9256	6.867712603	97.4977	93.6672	6.867712603
